Protein accession	Protein name	Length	Score	Normalized abundance F1	Normalized abundance F2	Normalized abundance F3	Normalized abundance F4	Normalized abundance F5	Normalized abundance F6	Normalized abundance F7	Normalized abundance F8	Normalized abundance F9	Normalized abundance F10
O15173	Membrane-associated progesterone receptor component 2 OS=Homo sapiens OX=9606 GN=PGRMC2 PE=1 SV=1	223	46.51	6402291.46	6278153	7373424.426	6851467.732		2430313.927	17166524.41	12105612.05	8197904.191	17373507.41
O43169	Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3	150	0	228881.4564	281332.7188		781931.7974			4480898.224	1110423.616	501114.5549	679199.0379
O43396	Thioredoxin-like protein 1 OS=Homo sapiens OX=9606 GN=TXNL1 PE=1 SV=3	289	22.03	1396571.446	2879758	3324162.293	1389310.619	3028507.864	2559721.376	2964103.05	1478646.292	4651504.565	4660035.715
O43423	Acidic leucine-rich nuclear phosphoprotein 32 family member C OS=Homo sapiens OX=9606 GN=ANP32C PE=2 SV=1	234	2.72	1707208.33		949908.0518	4290810.833	2658852.453	2044738.906	3813255.02	2952567.935	2147340.703	3612216.689
O43653	Prostate stem cell antigen OS=Homo sapiens OX=9606 GN=PSCA PE=1 SV=2	114	26.62			4593049.159		773679.6701	5512380.163	14920600.15		14282184.67	28607834.43
O43681	ATPase GET3 OS=Homo sapiens OX=9606 GN=GET3 PE=1 SV=2	348	2.67										
O43759	Synaptogyrin-1 OS=Homo sapiens OX=9606 GN=SYNGR1 PE=1 SV=2	233	2.61	541456.6977	415018.5625					2536813.639	1659970.77		1021142.016
O43760	Synaptogyrin-2 OS=Homo sapiens OX=9606 GN=SYNGR2 PE=1 SV=1	224	10.78	4558069.438	2463557.5	3637627.767	7361295.875		3815306.712	22265036.57	16078333.92	6044365.362	12975824.68
O43765	Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Homo sapiens OX=9606 GN=SGTA PE=1 SV=1	313	11.21	585503.1101	1226613	1789230.859	2492053.412	3860054.231	1600894.902	5345824.887	3533835.497	2719091.503	6559746.807
O60641	Clathrin coat assembly protein AP180 OS=Homo sapiens OX=9606 GN=SNAP91 PE=1 SV=2	907	2.54		116837.625		875880.2794			1143111.551	2848125.887		2569800.173
O60684	Importin subunit alpha-7 OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1	536	2.8										
O60763	General vesicular transport factor p115 OS=Homo sapiens OX=9606 GN=USO1 PE=1 SV=2	962	75.98	18185112.79	24951431.48	33133338.48	10545639.01	5330520.649	19764388.18	39398729.81	40157421.62	41501972.19	66331310.67
O60784	Target of Myb protein 1 OS=Homo sapiens OX=9606 GN=TOM1 PE=1 SV=2	492	71.99	13224881.09	11956919.39	21947778.03	2011436.91	2214077.489	5340920.224	18241102.87	11662006.61	19814935.75	45456905.82
O60936	Nucleolar protein 3 OS=Homo sapiens OX=9606 GN=NOL3 PE=1 SV=2	208	7.14	1085249.118	1594836.281	5449497.573	1399679.691	1446149.13			3172635.189	1886915.474	3015665.369
O75157	TSC22 domain family protein 2 OS=Homo sapiens OX=9606 GN=TSC22D2 PE=1 SV=3	780	0			4524295.36						2655178.966	537497.1762
O76009	"Keratin, type I cuticular Ha3-I OS=Homo sapiens OX=9606 GN=KRT33A PE=2 SV=2"	404	8.07	17370790.33	6774846.5	3811488.808			3337451.842	10787135.34		4895561.489	5872073.163
O76013	"Keratin, type I cuticular Ha6 OS=Homo sapiens OX=9606 GN=KRT36 PE=1 SV=1"	467	32.51	1675488.96	1571438	2748321.972						1902103.142	3587463.526
O76014	"Keratin, type I cuticular Ha7 OS=Homo sapiens OX=9606 GN=KRT37 PE=1 SV=3"	449	27.4	511742926.6	736747238	690853232.9	95620580.06	156020998.6	238239916	1886434019	617416344.2	429254941.7	3881157421
O76015	"Keratin, type I cuticular Ha8 OS=Homo sapiens OX=9606 GN=KRT38 PE=1 SV=3"	456	35.18	5161076.091	3529327	1775285.434	14084252.3	822938.7339		15750079.14	10953807.18	4808642.86	12553911.8
O95197	Reticulon-3 OS=Homo sapiens OX=9606 GN=RTN3 PE=1 SV=2	1032	30.4	2033449.536	2051799	4268810.994	5839982.881	3394061.205	4690896.744	26668575.63	17562488.93	930741.848	9681214.981
O95716	Ras-related protein Rab-3D OS=Homo sapiens OX=9606 GN=RAB3D PE=1 SV=1	219	39.46	222378578.1	97604432.72	149837086.4	11335489.01	22662690.83	106705739.1	48391765.4	59860633.76	117634975.2	108231741.6
P00167	Cytochrome b5 OS=Homo sapiens OX=9606 GN=CYB5A PE=1 SV=2	134	26.51	1945090.462	1317378	1767866.379		2181701.136		4445708.54	3270344.81	2873987.62	4619596.924
P00403	Cytochrome c oxidase subunit 2 OS=Homo sapiens OX=9606 GN=MT-CO2 PE=1 SV=1	227	21.28	2652454.931	1387991.938	2484442.143	9071788.221	1017333.52	5350769.169	17542282.54	15521528.63	7352934.976	11649266.74
P01593	Immunoglobulin kappa variable 1D-33 OS=Homo sapiens OX=9606 GN=IGKV1D-33 PE=1 SV=2	117	7.29	836080.8369	470319.4063	468151.1704	5034752.471	6536857.147	5786494.13	1394743.349	980247.9243	1523047.288	694929.3896
P01619	Immunoglobulin kappa variable 3-20 OS=Homo sapiens OX=9606 GN=IGKV3-20 PE=1 SV=2	116	88.13	196186829.5	114263396.5	125915133.9	349004613.7	158733726.9	231239586.2	483583300.4	323164378.1	148967278.1	268253371.9
P01714	Immunoglobulin lambda variable 3-19 OS=Homo sapiens OX=9606 GN=IGLV3-19 PE=1 SV=2	112	12.22		3221961.5	3652582.42	4794130.893		10249938.85	13661429.54	2372042.029		
P01717	Immunoglobulin lambda variable 3-25 OS=Homo sapiens OX=9606 GN=IGLV3-25 PE=1 SV=2	112	32.1	9243763.068	1115055.125	6734535.281	48977973.79	23996347.82	34377517.1	11718988.57	31071206.73	10101327.89	1199384.147
P01718	Immunoglobulin lambda variable 3-27 OS=Homo sapiens OX=9606 GN=IGLV3-27 PE=1 SV=2	113	23.31	2710524.691	1115055.125	1780407.954	25063489.49	7639415.848	11313351.63	2490715.359	17363651.61	2075696.056	1199384.147
P01903	"HLA class II histocompatibility antigen, DR alpha chain OS=Homo sapiens OX=9606 GN=HLA-DRA PE=1 SV=2"	254	20.49	909842.168	518009.0156		5996759.882	3702582.66		17059513.29	7435471.368	350284.1043	923771.9549
P01906	"HLA class II histocompatibility antigen, DQ alpha 2 chain OS=Homo sapiens OX=9606 GN=HLA-DQA2 PE=1 SV=2"	255	4.77	479937.8269	319601.9688		1176588.401	3702582.66		4033848.236	2172462.26	350284.1043	281717.2445
P02763	Alpha-1-acid glycoprotein 1 OS=Homo sapiens OX=9606 GN=ORM1 PE=1 SV=1	201	140.02	24958153.58	6466559.734	9168426.145	531841594.9	221157321.3	64704528.28	55012419.34	117053077	25571464.38	29083759.36
P04350	Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2	444	529.97										
P04433	Immunoglobulin kappa variable 3-11 OS=Homo sapiens OX=9606 GN=IGKV3-11 PE=1 SV=1	115	40.39	13510069.59	9775506.281	4467808.86	45657838.75	26856559.96	41535984.45	12901910.49	19079939.98	16519374.98	4183579.045
P04921	Glycophorin-C OS=Homo sapiens OX=9606 GN=GYPC PE=1 SV=1	128	16.52				349325.945	15664306.93		26993661.61			229234.985
P05386	60S acidic ribosomal protein P1 OS=Homo sapiens OX=9606 GN=RPLP1 PE=1 SV=1	114	20.23	14218274.94	8088389.5	24641920.2	10943276.45	4178717.632	8755095.008	13483512.98	8987758.491	19017575.43	24133731.41
P05387	60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1	115	45.39	3707256.457	3193269.656	12134369.39	10706564.34	5622423.897	1831869.029	8513273.655	5584182.726	16557252.25	9168919.363
P05976	"Myosin light chain 1/3, skeletal muscle isoform OS=Homo sapiens OX=9606 GN=MYL1 PE=1 SV=3"	194	9.74	6856496.183	8615167.5	6815110.856	5827945.16	2141553.66		23306518.95	11656623.88	8442829.63	13721106.95
P06454	Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=2	111	32.85	1738717.867	174225.4023	4514084.759	89386384.87	10725597.1	9013122.843	3616881.416	42384058.45	3361757.534	5183829.161
P06748	Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	294	42.84	15502189.32	17496663.38	21337906.84	21164416	4137240.901	30577221.77	37852593.25	49343448.07	21016660.34	13434204.33
P06753	Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2	285	389.31	54654399.35	106068468.5	37478836.94	67379516.55	41423398.75	16938804.19	83094354.11	120491371.7	45014655.93	51164360
P07196	Neurofilament light polypeptide OS=Homo sapiens OX=9606 GN=NEFL PE=1 SV=3	543	13.37	4552795.516	725363	2795953.209	19232214.04	5717284.21	1331030.953	17003975.71	14967511.51	846845.5938	4939720.756
P07197	Neurofilament medium polypeptide OS=Homo sapiens OX=9606 GN=NEFM PE=1 SV=3	916	13.37	4552795.516	725363	2795953.209	19232214.04	5717284.21	1331030.953	17003975.71	14967511.51	846845.5938	4939720.756
P07237	Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3	508	652.61	441122157.9	430446435.5	473823137	363773557.5	148418933.1	411749818.1	852296742.9	651454744.5	713668222.5	936818556
P07437	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	444	683.81	24480814.65	11620427.63	29309908.89	36146055.3	14800487.28	21294133.72	68330841.67	40883323.05	29739687.28	50704962.71
P07476	Involucrin OS=Homo sapiens OX=9606 GN=IVL PE=1 SV=2	585	960.91	661653906.2	933971067.1	1501142324	177372595.7	146438672.2	716119570.6	583523388.2	707335790.8	1929673306	1193754289
P07900	Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	732	720.39	152661341.9	138576838.1	146626398.3	196300160.2	66820829.98	141924023.3	310022856.1	235772381.1	210946246.7	373462952
P07951	Tropomyosin beta chain OS=Homo sapiens OX=9606 GN=TPM2 PE=1 SV=1	284	179.9	2254894.51	5684527.5	1743515.251	1850768.758	1070760.185				2815980.126	
P07996	Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2	1170	17.95	836023.5475	1107429.891	1124375.213	1412931.086	20562127.13		3132436.021	826759.3973	210287.8498	232770.9842
P08238	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	724	696.96	503334479.8	423580031.7	451341667.1	434168789.4	148983612	348370872.9	856976335.6	638319747.1	587493369	1050683995
P08865	40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4	295	143.06	61525534.46	30943990.81	76983212.47	614308899.6	3833325051	47684398.21	126099086.5	72501813.36	79655366.83	133127964.7
P09104	Gamma-enolase OS=Homo sapiens OX=9606 GN=ENO2 PE=1 SV=3	434	54.67	19673644.95	11294907.19	25693480.16	62281637.9	18309409.05	27449141.98	43405495.37	33802917.43	33567483.82	43634584.79
P09486	SPARC OS=Homo sapiens OX=9606 GN=SPARC PE=1 SV=1	303	0	3527474.419	1028969.563				7079302.422			850635.0674	
P09493	Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2	284	176.84	1884052.319	1711994.375			4660021.293		2481673.239	787395.1328		
P09496	Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1	248	2.27		611370.8125		1990789.339	2255265.967		3689917.015	7694661.023		23959731.4
P09497	Clathrin light chain B OS=Homo sapiens OX=9606 GN=CLTB PE=1 SV=1	229	18.42	1321926.974	2229829.813	12637960.88	4659635.52	479402.2021	4279596.841	9062862.115	4073764.026	22174511.12	5180623.169
P09871	Complement C1s subcomponent OS=Homo sapiens OX=9606 GN=C1S PE=1 SV=1	688	53.06	18406790.82	10727115.55	280730.2601	48783436.16	24920809.1	1145010.189	19058678.86	7188808.597	308736.4173	4689367.039
P0DME0	Protein SETSIP OS=Homo sapiens OX=9606 GN=SETSIP PE=1 SV=1	302	18.82	6652839.51	4306014.344	8050342.419	25718742.9	1313000.056	3835242.725	10183781.69	19044482	10950442.22	10084712.17
P0DP25	Calmodulin-3 OS=Homo sapiens OX=9606 GN=CALM3 PE=1 SV=1	149	197.17	72376179.17	53662892.66	91444624.4	96261098.03	40605938.79	67819323.9	78808432.65	124362358.6	104305935.5	87403575.19
P10114	Ras-related protein Rap-2a OS=Homo sapiens OX=9606 GN=RAP2A PE=1 SV=1	183	6.01	306254.606	3457491.25	155252.7294	2666725.642	215476.4345	457598.789	11030697.99	3572858.889	658897.4551	4782071.759
P10451	Osteopontin OS=Homo sapiens OX=9606 GN=SPP1 PE=1 SV=1	314	3.16						3317194.889				
P10599	Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3	105	18.81	4970623.905	8441707.219	16502636.9	1995898.707	9428084.173	2500437.064	3091605.139	6105203.632	7041103.127	1548822.576
P10645	Chromogranin-A OS=Homo sapiens OX=9606 GN=CHGA PE=1 SV=7	457	109.72	9026808.924	2889464.5	518473.3326	2424524.777	977064.6056	404185961.2	2278797.654	713556.6087	89668909.12	5684662.744
P12830	Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=3	882	33.22	688321.1334	1559947.875	6174091.078	11161816.46	414964.1884	4354750.217	614226.0724	9935856.383	15776573.61	9541625.596
P13284	Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens OX=9606 GN=IFI30 PE=1 SV=3	250	5.54	737749.5145	3378978.563		2348243.295			18366650.85	3177551.883		
P13489	Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2	461	385.46	126604253.9	141896276.5	176601529.2	72259564.96	70716438.64	72253610.42	124106716.4	111672394.5	157342050.4	215331422.2
P13611	Versican core protein OS=Homo sapiens OX=9606 GN=VCAN PE=1 SV=3	3396	37.34	22132431.83	41018711.25	354107.2799	2219122.39	3721622.375	30036944.8	8106829.939	1026021.898	10661674.84	3895475.634
P13646	"Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4"	458	11750.33	1.14163E+11	1.42481E+11	1.69686E+11	9711834007	18976313520	70564487705	67739039899	62053764389	1.48624E+11	1.44612E+11
P13693	Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1	172	60.34	44712022.67	39752263.25	85430397.88	25049656.84	13307342.46	29638585.3	58548134.42	43593736.26	69896312.38	116214141.3
P14314	Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2	528	58.66	36862258.06	173737479.8	189475955.3	87922001.41	26133162.94	215192369.2	1586629978	232813030.2	54071440.36	80502801.73
P14317	Hematopoietic lineage cell-specific protein OS=Homo sapiens OX=9606 GN=HCLS1 PE=1 SV=3	486	10.61			1762754.131	3151294.56	2170373.906	2271445.245	3446825.315	3246466.031	493605.3896	
P14625	Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	803	468.98	123918391.5	108959116.8	143033282.2	191309681.3	81003799.61	157197991.1	465945866.4	254654352.6	167055206.6	262048715.4
P15374	Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Homo sapiens OX=9606 GN=UCHL3 PE=1 SV=1	230	17.63	3575717.97	4055645.156	7910948.265	5207055.477	6698659.963	1729814.972	8316798.394	6451750.078	4592674.718	12815046.06
P17655	Calpain-2 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN2 PE=1 SV=6	700	155.61	30089556.85	33611448.19	37544838.33	64175614.61	13449767.8	40592948.92	78101074.09	64601965.82	78553868.86	133220563.5
P19012	"Keratin, type I cytoskeletal 15 OS=Homo sapiens OX=9606 GN=KRT15 PE=1 SV=3"	456	1903.29	65694903.02	128366764.2	147334203.8	121009023.2	4545402.841	63720443.85	128037087.6	228695110.6	247459854.7	182707182.2
P19105	Myosin regulatory light chain 12A OS=Homo sapiens OX=9606 GN=MYL12A PE=1 SV=2	171	168.22	42383367.95	26484778.41	48158876.56	77696636.25	27560756.2	26473648.32	332266532.9	92182648.55	72144363.07	92803217.71
P19338	Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	710	5.24	935879.3067	484411.3125	1156106.27				1494464.323	632570.4449	787933.2262	540393.132
P20061	Transcobalamin-1 OS=Homo sapiens OX=9606 GN=TCN1 PE=1 SV=2	433	9.74	1153821.973	412471.9688	2458042.793	10017644.41	3270163.246	18097130.4	6040611.523	20105852.66	8958581.722	3337595.898
P20142	Gastricsin OS=Homo sapiens OX=9606 GN=PGC PE=1 SV=1	388	3.01										
P20336	Ras-related protein Rab-3A OS=Homo sapiens OX=9606 GN=RAB3A PE=1 SV=1	220	28.88										
P20337	Ras-related protein Rab-3B OS=Homo sapiens OX=9606 GN=RAB3B PE=1 SV=2	219	9.34	212823831.4	91183664	143018264.9	3793308.289	15241826.56	95182246.56	26385552.42	40718607.33	110971658.6	91567569.84
P24534	Elongation factor 1-beta OS=Homo sapiens OX=9606 GN=EEF1B2 PE=1 SV=3	225	40.67	15541647.33	9846602.875	37679029.71	13421168.54	4078750.396	5376826.223	26309106.07	18582089.98	31243911.88	39404134.53
P24821	Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3	2201	89.31	96566478.59	44736216.42	2893260.848	3314637.766	3007842.815	101364737.3	33950482.92		24251484.97	6692697.71
P24844	Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4	172	72.89	20938156.45	16575082.41	22653490.86	37072444.24	14374224	12390128.05	151064955.6	50379487.35	27344091.01	50149123.97
P25815	Protein S100-P OS=Homo sapiens OX=9606 GN=S100P PE=1 SV=2	95	54.4	7736875.566	5367949	17635620.43	199424858.3	37095725.52	14978852.52	116232755.3	233827786.2	20022909.58	51146778.85
P26022	Pentraxin-related protein PTX3 OS=Homo sapiens OX=9606 GN=PTX3 PE=1 SV=3	381	16.02	1729327.043		647660.0959	2879407.936	655847.3181	1642040.095	18993693.49	6585763.923	281802.3623	3034314.876
P27348	14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1	245	340.58	135981836.2	127830085.7	143232910.4	100800117	40665061.82	113843732.4	158630911.1	172237523.8	195812848.6	301262322.2
P27482	Calmodulin-like protein 3 OS=Homo sapiens OX=9606 GN=CALML3 PE=1 SV=2	149	356.84	200419962	219708325.9	458661424.1	125059877.1	36958167.05	152455116.2	273325663.5	325552700.3	499961017	685300335.6
P27797	Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1	417	513.69	188422715.6	206113553	291624793.6	364563713.3	102057329.1	166979792	900605091.2	639884438.5	321923692.4	526401849.1
P27824	Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2	592	222.91	39880621.26	34434845.27	64125854.71	64818064.92	22433460.04	30510210.61	187624895.7	144054823.8	79432292.27	103450476.2
P28065	Proteasome subunit beta type-9 OS=Homo sapiens OX=9606 GN=PSMB9 PE=1 SV=2	219	10.03	1563350.082	1452751.688		7432626.165	1351478.646		3528412.758	6475074.452	1684270.86	3030050.78
P28066	Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3	241	46.94	8751533.263	8652968.5	14633755.46	27811014.2	23565377.74	3648299.239	16487985.46	23918393.58	15268344.28	20777127.45
P28072	Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4	239	11.45	3282684.454	3888165.25	1600508.337	4033825.739	7002037.866		14310692.97	4250361.688	4073177.241	12703839.63
P29034	Protein S100-A2 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=3	98	61.29	12065951.54	9227563.375	10807007.16	47567440.74	2233631.859	6444090.799	70346770.41	63853027.93	11721853.76	51026885.29
P29692	Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5	281	72.73	44204023.64	31411776	55631489.02	32927309.01	17175338.02	20114808.61	87738385.58	25451368.24	40584004.13	78512287.57
P29966	Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4	332	43.72	3850839.392	3304973.609	5411139.912	36078194.28	6293081.83	7543250.537	21243458.13	44180501.06	18399979.57	6565289.091
P30154	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Homo sapiens OX=9606 GN=PPP2R1B PE=1 SV=3	601	34.22	8234000.812	4031762.477	4341210.733	4844912.38	6533345.794	4301159.552	5319822.48	2582191.066	7884498.083	8568783.342
P31946	14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3	246	331.36	158594686.9	153214322.6	160892151.5	202237304.1	106061308	191713333.5	315301285.7	264143058.2	245877088.5	386874821.2
P31947	14-3-3 protein sigma OS=Homo sapiens OX=9606 GN=SFN PE=1 SV=1	248	637.74	1110241214	1747408164	2154315109	595599655.4	189946655.9	812687546.4	1713969198	1199220539	1827487015	2460809435
P32926	Desmoglein-3 OS=Homo sapiens OX=9606 GN=DSG3 PE=1 SV=2	999	563.71	248612004	415755392	527118241.7	12988746.91	186376506.7	216924904.4	176091904.6	93943576.71	471652168.7	564895516.9
P33241	Lymphocyte-specific protein 1 OS=Homo sapiens OX=9606 GN=LSP1 PE=1 SV=1	339	70.89	1721215.046		8262029.888	19340592.04	20076973.22	10453456.85	30018539.62	29532525.23	4120802.708	30290246.73
P34910	Protein EVI2B OS=Homo sapiens OX=9606 GN=EVI2B PE=1 SV=2	448	5.94	4643774.582		683507.95	934992.5996	941541.5261	1446306.749	6566482.559	8248302.654	706557.1326	1771411.159
P37840	Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1	140	22.34		4505593.5	2823241.675	2548372.412	37897518.64	2025863.353	3954984.978	2968036.104	9344767.987	7646560.047
P39687	Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1	249	32	9533247.873	1614650.625	11010205.68	12920391.29	7499726.51	5525741.45	10326143.1	28338077.59	24451936.51	11612640.61
P43307	Translocon-associated protein subunit alpha OS=Homo sapiens OX=9606 GN=SSR1 PE=1 SV=3	286	10.57	1986365.663	4458682.188	5486864.149	10481500.18	859078.4033	6325347.187	22812582.47	15438980.49	7225912.284	10074298.3
P45974	Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens OX=9606 GN=USP5 PE=1 SV=2	858	81.94	17660863.39	18055635.55	25451278.71	40726616.86	54744669.33	22933608.22	74116685.48	23865154.35	34795148.14	64540604.76
P49006	MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2	195	2.19	167721.6387	569267		580560.3715	766442.6495	786510.9383	2010951.001	293688.4544		
